Tarea,Descripción,Epic,Estado,Estimación,Fase,ID,MoSCoW
Setup del proyecto backend,Inicializar el repositorio backend con Node.js y Fastify. Configurar estructura de carpetas. Agregar linter y .env de ejemplo.,Setup inicial,Done,S,Backend,1,Must Have
Configurar Prisma y conexión a PostgreSQL,Instalar Prisma y configurar el datasource en schema.prisma apuntando a Supabase. Configurar DATABASE_URL (con ?pgbouncer=true) y DIRECT_URL en .env. Verificar conexión ejecutando prisma db pull o una query simple al arrancar el servidor.,Setup inicial,Done,S,Backend,2,Must Have
Modelo Evidence en Prisma schema,"Definir el modelo Evidence en schema.prisma con campos: id, shipment_id (FK), file_url, file_hash (SHA-256), metadata_json (GPS + fecha + dispositivo) y type (Enum: DEPARTURE / COMPLAINT). Ejecutar prisma migrate dev.",Base de datos,Done,,,4,
Modelo Shipment en Prisma schema,"Definir el modelo Shipment en schema.prisma con campos: id (UUID), tracking_code, tracking_token, status (Enum), sender_id (FK a Organization), receiver_email, created_at y updated_at. Ejecutar prisma migrate dev para aplicar la migración.",Base de datos,Done,,,3,Must Have
Modelo FleteValidation en Prisma schema,"Definir el modelo FleteValidation en schema.prisma con campos: id, shipment_id (FK), phone_sent_to, otp_code (hash), validated_at e ip_address. Ejecutar prisma migrate dev.",Base de datos,Done,,Backend,5,
Modelo DisputeToken en Prisma schema,"Definir el modelo DisputeToken en schema.prisma con campos: id, shipment_id (FK), visual_token, generated_at y used_at. Ejecutar prisma migrate dev.",Base de datos,Done,,Backend,6,
Implementar state machine de estados del envío,Crear un módulo que gestione las transiciones válidas entre estados: PENDING_EVIDENCE → PENDING_FLETE → IN_TRANSIT → DELIVERED → CLOSED / DISPUTE → DISPUTE_RESOLVED. Rechazar transiciones inválidas con error 400.,Lógica de negocio,Done,M,Backend,8,Must Have
Modelo AuditLog en Prisma schema,"Definir el modelo AuditLog en schema.prisma con campos: id, shipment_id (FK), from_status, to_status, actor y timestamp. Agregar comentario en el schema indicando que esta tabla es append-only: nunca se modifica ni elimina. Ejecutar prisma migrate dev.",Base de datos,Done,,,7,
Registrar cambios de estado en audit_log,Cada vez que el estado de un envío cambie a través de la state machine se debe insertar automáticamente un registro en audit_log con el estado anterior el nuevo estado y el actor que lo generó.,Lógica de negocio,Done,S,Backend,9,Must Have
Endpoint POST /shipments,Recibe el JSON de la planilla del operario (lote cantidad destinatario email). Valida campos obligatorios. Genera el UUID del envío y el tracking_code alfanumérico corto. Guarda con status PENDING_EVIDENCE. Devuelve shipment_id y tracking_code.,API,Done,M,Backend,10,Must Have
Generador de tracking_code corto y único,Función que genera un código alfanumérico legible y corto (ej: AX-402) verificando que no exista ya en la base de datos antes de asignarlo. Sin caracteres ambiguos (0 vs O / 1 vs I).,Lógica de negocio,Done,S,Backend,11,Must Have
Endpoint POST /shipments/:id/evidence,Recibe multipart/form-data con la imagen o video + metadata JSON + hash SHA-256 generado en el cliente. Valida que el tipo de archivo sea imagen o video. Guarda los datos y encola el procesamiento en background.,API,Done,M,Backend,12,Must Have
Integración con S3 o Cloudflare R2,Configurar el cliente de S3/R2. Implementar las funciones de upload download y generación de URLs firmadas. Organizar los archivos bajo la estructura: bucket/shipments/{YYYY-MM}/{shipment_id}/nombre_archivo.,Infraestructura,Done,M,Backend,15,Must Have
Endpoint POST /shipments/:id/verify-flete - Generar OTP,Al llamar este endpoint el sistema genera un código OTP de 4 dígitos lo hashea para guardar en la DB y dispara el SMS al número del fletista usando Twilio o MessageBird. Devuelve confirmación de envío del SMS.,API,Done,M,Backend,16,Must Have
Worker de procesamiento de imagen,Worker en background que recibe la imagen cruda del storage temporal aplica la marca de agua con fecha hora y GPS sobre los píxeles guarda la versión final en S3/R2 y actualiza el file_url en la tabla evidence.,Procesamiento,Done,L,Backend,13,Must Have
Verificación de hash en el servidor,Tras recibir la imagen calcular el hash SHA-256 del archivo recibido y compararlo con el hash enviado por el cliente. Si no coinciden rechazar la subida con error 422 y registrar el incidente.,,Done,M,Backend,14,Must Have
Integración con proveedor de SMS (Twilio o MessageBird),Configurar el cliente del proveedor de SMS. Implementar la función de envío de mensaje con el template del OTP. Manejar errores de entrega (número inválido timeout). Loguear el resultado.,Infraestructura,Done,M,Backend,17,Must Have
Endpoint POST /shipments/:id/verify-flete - Validar OTP,Recibe el código ingresado por el operario. Compara con el hash guardado. Si coincide cambia el estado a IN_TRANSIT y registra validated_at en flete_validations. Si no coincide devuelve error 400 sin cambiar estado.,API,Done,M,Backend,18,Must Have
Endpoint GET /tracking/:code?token=xxxx (Signed URL),Devuelve los datos del envío solo si el tracking_token del query param coincide con el registrado en la DB para ese código. Si no coincide responde 401. Nunca expone datos sin token válido. Devuelve estado actual + fotos con URLs firmadas + audit_log.,API,Done,M,Backend,19,Must Have
Endpoint POST /shipments/:id/confirm,El cliente confirma la conformidad. Cambia el estado a CLOSED. Registra en audit_log. Responde con 200.,API,Done,S,Backend,20,Must Have
Endpoint POST /shipments/:id/complaint,El cliente inicia un reclamo. Genera un visual_token aleatorio de 4 caracteres (un solo uso con expiración de 10 minutos). Guarda en dispute_tokens. Cambia el estado a DISPUTE. Devuelve el token al frontend.,API,Done,M,Backend,21,Must Have
Endpoint POST /shipments/:id/complaint/photo,Recibe la foto de la queja del cliente. Valida que exista un visual_token activo para ese envío. Guarda la imagen en S3 bajo /queja_token_{token}.jpg. Marca el token como utilizado (used_at). Registra en evidence con type COMPLAINT.,API,Done,M,Backend,22,Must Have
Envío de email al cliente con tracking_code,Tras la validación del fletista (estado IN_TRANSIT) el sistema envía automáticamente un email al receiver_email con el tracking_code y el link directo al portal de seguimiento. Usar un proveedor transaccional (Resend o SendGrid).,Notificaciones,Done,M,Backend,23,Must Have
Validación de tipos de archivo en el servidor,El servidor debe verificar el MIME type real del archivo (no solo la extensión) antes de procesarlo. Rechazar cualquier archivo que no sea imagen (jpg/png/webp) o video (mp4/mov). Responder con 415.,,Done,S,Backend,27,Must Have
Configurar Service Worker con Workbox,Configurar el Service Worker usando Workbox para cachear los assets estáticos de la app (shell de la PWA). La app debe poder abrirse y mostrar la interfaz sin conexión a internet.,Offline,Done,M,Frontend PWA,29,Must Have
Rate limiting en endpoints de subida,Limitar el número de requests a los endpoints de subida de archivos por IP y por cuenta para prevenir abuso. Usar un middleware de rate limiting (ej: express-rate-limit o slowapi).,,Done,S,Backend,26,Must Have
Setup proyecto frontend React + Vite,Inicializar el proyecto con React y Vite. Configurar TypeScript si se desea. Agregar las dependencias base: Dexie.js (IndexedDB) y Workbox (Service Worker). Configurar variables de entorno para la URL del backend.,Setup inicial,Done,S,Frontend PWA,28,Must Have
Setup IndexedDB con Dexie.js,Definir el esquema de la base de datos local usando Dexie.js con las tablas: pending_shipments y pending_evidence. Esta base de datos actúa como cola offline de datos no sincronizados todavía.,Offline,Done,M,Frontend PWA,30,Must Have
Pantalla home del operario,"Pantalla principal que muestra el botón de ""Nuevo envío"" y el indicador de envíos pendientes de sincronizar. Si hay envíos en la cola offline muestra un badge con el número y un estado de ""Pendiente de sincronización"".",UX,Done,S,Frontend PWA,32,Must Have
Formulario de nuevo envío (Paso 1: datos),Pantalla con los campos básicos del envío: número de lote cantidad de bultos email del destinatario y notas opcionales. Usar selectores y campos numéricos para minimizar tipeo. Validar campos obligatorios antes de avanzar.,Registro de envío,Done,M,Frontend PWA,33,Must Have
Captura de foto desde cámara (sin acceso a galería),Abrir la cámara del dispositivo directamente desde la app para tomar la foto. No permitir subir desde la galería (atributo capture en el input). Mostrar preview de la foto antes de confirmar.,Registro de envío,In Progress,M,Frontend PWA,34,Must Have
Generación de hash SHA-256 local de la imagen,Una vez tomada la foto calcular el hash SHA-256 del archivo binario en el navegador usando la Web Crypto API (sin necesidad de conexión). Guardar el hash junto a la imagen en IndexedDB.,,To Do,M,Frontend PWA,35,Must Have
Guardar envío en IndexedDB (modo offline),Al confirmar el formulario y la foto guardar todos los datos (formulario + imagen + hash + metadata GPS/fecha) en IndexedDB con estado PENDING_SYNC. La operación debe funcionar aunque no haya internet.,Offline,To Do,,Frontend PWA,36,Must Have
Pantalla de ingreso del OTP del fletista,Después de cargar las fotos mostrar la pantalla donde el operario ingresa el número de celular del fletista. Luego mostrar el campo para ingresar el código OTP de 4 dígitos que el fletista le dicta. Manejar el estado de espera y el error si el código no coincide.,Validación flete,To Do,M,Frontend PWA,40,Must Have
Pantalla de confirmación del envío creado,Tras la validación exitosa del OTP mostrar la pantalla de confirmación con el tracking_code generado e informar que el email fue enviado al cliente. Opción de copiar el código al portapapeles.,UX,To Do,S,Frontend PWA,41,Must Have
Indicador visual de envíos pendientes de sincronizar,"Mostrar en la pantalla home el número de envíos pendientes en la cola offline. Al completar la sincronización mostrar una notificación de ""Todo sincronizado"". Si falla un envío marcarlo con error y permitir reintentar manualmente.",UX,To Do,M,Frontend PWA,38,Must Have
Lógica de sincronización automática al recuperar conexión,El Service Worker escucha el evento online del navegador. Al detectar conexión intenta subir todos los registros de IndexedDB con estado PENDING_SYNC al backend. Actualiza el estado local a SYNCED si el backend responde con 200.,Offline,To Do,L,Frontend PWA,37,Must Have
Indicador de almacenamiento disponible en el dispositivo,Usar la API http://navigator.storage.estimate() para mostrar un aviso cuando el espacio disponible en el dispositivo sea bajo. Sugerir al operario que suba al área con señal para sincronizar antes de seguir cargando envíos.,Offline,To Do,M,Frontend PWA,39,Must Have
Portal de seguimiento del cliente (solo lectura),Página pública accesible desde el link del email. Muestra el estado actual del envío datos básicos del remitente las fotos de salida con la marca de agua y el historial de eventos del audit_log. No requiere login.,Portal cliente,To Do,L,Frontend PWA,42,Must Have
Botón de conformidad en el portal del cliente,Botón visible en el portal cuando el estado es IN_TRANSIT o DELIVERED. Al presionarlo pide una confirmación al usuario y llama al endpoint POST /confirm. Actualiza la vista al estado CLOSED.,Portal cliente,To Do,S,Frontend PWA,43,Must Have
Flujo de reclamo - Pantalla del token visual,"Mostrar el visual_token (ej: B7K) en tipografía grande y clara. Instrucción: ""Escribí este código en un papel y sacá una foto del producto dañado donde se vea el código"". Abrir cámara directamente. Sin acceso a galería.",Portal cliente,To Do,M,Frontend PWA,45,Must Have
Flujo de reclamo - Pantalla inicial,"Botón de ""Reportar problema"" en el portal del cliente. Al presionarlo muestra un formulario con campo de descripción del daño y el botón de continuar. Llama al endpoint POST /complaint y recibe el visual_token.",Portal cliente,To Do,M,Frontend PWA,44,Must Have
Subida de foto del reclamo con token visual,Tras capturar la foto del reclamo calcular el hash local y subir al endpoint POST /complaint/photo. Mostrar estado de carga y confirmación al finalizar. Informar al cliente que el reclamo fue recibido y será revisado.,Portal cliente,To Do,M,Frontend PWA,46,Must Have
